text,label
Massive flood in Patna,1
Earthquake destroyed houses,1
Beautiful weather today,0
I am Ritik Raushan,0
Devastating wildfire in California,1
Tsunami hits coastal Japan,1
Severe hurricane in Florida,1
Flash floods submerge the subway,1
Landslide blocks the mountain highway,1
Volcanic eruption forces evacuation,1
Cyclone destroys local crops,1
Intense heatwave causes power outages,1
Tornado touches down in Kansas,1
Blizzard traps commuters on the road,1
Massive sinkhole opens in the city,1
Hailstorm shatters greenhouse glass,1
Drought leads to water rationing,1
Thunderstorm causes major forest fire,1
Avalanche buries the ski resort,1
Bridge collapses during heavy rain,1
Dust storm blinds drivers on I-80,1
Dam burst floods the valley,1
Severe tremors felt in Delhi,1
Gas leak forces neighborhood lockdown,1
Forest fire approaching the suburbs,1
Mudslide destroys hillside homes,1
Typhoon wipes out the pier,1
Ice storm downs power lines,1
River overflows its banks,1
Sun is shining brightly today,0
I am eating a delicious apple,0
My name is Alex Smith,0
The park is full of flowers,0
I love listening to jazz music,0
The coffee smells amazing,0
Today is a very productive day,0
I am walking my dog,0
The library is a quiet place,0
Coding is a fun hobby,0
I am learning how to bake,0
The kittens are sleeping softly,0
I bought a new blue shirt,0
The mountains look beautiful,0
I am drinking cold water,0
Watching the sunset is peaceful,0
I finished my homework early,0
The pizza tastes great,0
I am sitting on the porch,0
My friend gave me a gift,0
The birds are singing outside,0
I am going for a jog,0
The sky is clear blue,0
I am reading a thick book,0
Today is a wonderful Friday,0